sample_idx,y_true,y_pred,y_score
3712,1.0,0.0,0.04908655
3894,0.0,0.0,3.8078348e-08
11995,1.0,1.0,1.0
7196,1.0,1.0,0.99999857
12271,1.0,1.0,0.5950389
7385,1.0,1.0,0.99967456
5441,0.0,0.0,0.22876246
2782,0.0,0.0,2.331069e-11
6542,1.0,1.0,1.0
9739,1.0,1.0,0.99992824
2136,1.0,0.0,0.00013446476
2712,0.0,0.0,0.00693421
5524,0.0,0.0,2.5524975e-16
8493,0.0,0.0,1.8466144e-11
7089,0.0,0.0,0.00010091492
10830,1.0,0.0,0.034037396
10337,0.0,0.0,1.9755444e-06
994,1.0,1.0,0.99347323
6789,1.0,1.0,1.0
3779,1.0,0.0,0.45749238
12130,0.0,0.0,0.00013839496
2686,1.0,1.0,0.999997
6027,1.0,1.0,0.99999905
11162,0.0,0.0,0.35970026
4540,1.0,1.0,0.99999845
5535,0.0,0.0,4.8578746e-22
2098,0.0,0.0,0.002051794
6337,1.0,1.0,0.99843127
10778,0.0,0.0,5.7909006e-09
2935,1.0,1.0,0.99999976
10906,1.0,1.0,0.99126667
4727,0.0,0.0,2.3749795e-05
9155,0.0,1.0,0.64950293
9798,1.0,0.0,6.8745365e-05
11600,0.0,0.0,2.8538675e-12
9364,0.0,0.0,0.010973676
5838,0.0,0.0,2.7658507e-06
10702,0.0,0.0,8.148733e-06
223,0.0,0.0,0.00018454652
8916,1.0,1.0,1.0
8700,1.0,1.0,1.0
5687,0.0,0.0,0.00014779139
5797,0.0,0.0,0.015750699
6898,0.0,0.0,0.009389384
8014,0.0,1.0,0.7254169
9857,0.0,1.0,0.9964605
5133,0.0,0.0,0.001267087
6682,1.0,1.0,0.9995383
8933,1.0,1.0,0.9904298
9017,0.0,0.0,0.35601345
3720,1.0,0.0,1.7916553e-05
1480,1.0,1.0,0.99983513
6614,0.0,1.0,0.91022766
8825,1.0,1.0,0.99982494
6737,1.0,1.0,0.99999917
1809,1.0,1.0,1.0
7061,1.0,1.0,0.9997186
2754,0.0,0.0,9.0359935e-11
7029,1.0,1.0,0.9998424
309,0.0,0.0,0.21148108
7802,1.0,1.0,0.99997044
8345,1.0,1.0,0.9883569
5226,1.0,1.0,0.760119
