Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.7183060623361794	0.7238883871882812	0.5006041079339508	0.5	0.0	0.0	0.0	0.0
1	0.7708396050138843	0.7676888287281285	0.6947241240434958	0.6946312251836089	0.7295238095238096	0.617741935483871	0.38933444081412816	0.617741935483871
2	0.8165640489969637	0.8167454547079254	0.7317760773258155	0.7316423584979108	0.7971014492753623	0.6209677419354839	0.4634082869267425	0.6209677419354839
3	0.8253840863675291	0.8264130078516563	0.7414418042690294	0.7413100459346533	0.8082474226804124	0.632258064516129	0.48274693931852175	0.632258064516129
4	0.8294059637194093	0.8290877392930539	0.7454691904953685	0.7453500895336465	0.8052208835341366	0.646774193548387	0.49081672781926	0.646774193548387
5	0.8320027638647394	0.8310642116407998	0.734192509061619	0.7340179197051877	0.828798185941043	0.589516129032258	0.4681989611775311	0.589516129032258
6	0.8342784107128954	0.8326548579071797	0.7438582360048329	0.7437186956634573	0.8165618448637316	0.6282258064516129	0.4875730989408076	0.6282258064516129
7	0.8345577167622558	0.8326733301516869	0.7418445428916633	0.7416996470557704	0.8176033934252386	0.6217741935483871	0.48353905525725815	0.6217741935483871
8	0.8358059974567253	0.8330108672993832	0.7470801449859041	0.7469522876495471	0.8128834355828221	0.6411290322580645	0.49403054135595004	0.6411290322580645
9	0.8360486466145901	0.8334124622477406	0.7406363270237616	0.7404831572937483	0.8218142548596112	0.6137096774193549	0.4811133342722097	0.6137096774193549
10	0.8372401577868321	0.8344940264108828	0.7470801449859041	0.7469542340331663	0.8116089613034623	0.6427419354838709	0.49403251147194593	0.6427419354838709
11	0.836530052163081	0.8347010218350223	0.7486910994764397	0.7485505929982093	0.8235294117647058	0.632258064516129	0.49724055220106844	0.632258064516129
12	0.8375094075208263	0.8354973048531877	0.7458719291180024	0.7457241195858095	0.8249733191035219	0.6233870967741936	0.49159319875745155	0.6233870967741936
13	0.8381799366776529	0.8364794631544875	0.7410390656463954	0.7408941686346768	0.8165429480381761	0.6209677419354839	0.4819276326527566	0.6209677419354839
14	0.8383687358887187	0.8367989201077288	0.7402335884011276	0.7400779851036774	0.8230184581976113	0.6112903225806452	0.48030508004879147	0.6112903225806452
15	0.8385455324007993	0.836976561866029	0.743455497382199	0.7433183894324346	0.8143899895724713	0.6298387096774194	0.48676989431815276	0.6298387096774194
16	0.8384705966314587	0.8373489224477862	0.7486910994764397	0.7485535125736382	0.8215031315240083	0.6346774193548387	0.49724348869522095	0.6346774193548387
17	0.8379917862611269	0.8369095512600468	0.7418445428916633	0.7416840759868165	0.8287596048298573	0.6088709677419355	0.48352296640796344	0.6088709677419355
18	0.8399686632237304	0.8381523092027066	0.7470801449859041	0.7469415825396413	0.8200836820083682	0.632258064516129	0.49401970544372287	0.632258064516129
19	0.8410761555030754	0.8391516628757127	0.7531212243254128	0.7529928892118444	0.8208802456499488	0.646774193548387	0.5061153183589993	0.646774193548387
20	0.8410054368982431	0.8396582171606881	0.752315747080145	0.7521913035579892	0.817258883248731	0.6491935483870968	0.5045078077469073	0.6491935483870968
21	0.8404160070588845	0.8395812115728636	0.7458719291180024	0.745723146394	0.825668449197861	0.6225806451612903	0.4915922089089714	0.6225806451612903
22	0.8430316222458673	0.8410861753287322	0.7519130084575111	0.7517890509433472	0.8164300202839757	0.6491935483870968	0.5037026124979639	0.6491935483870968
23	0.8430562764383775	0.8408976715549099	0.7490938380990737	0.7489518724210418	0.8250790305584826	0.6314516129032258	0.4980447905373768	0.6314516129032258
24	0.8437608673085408	0.8416007029084804	0.7519130084575111	0.7517978096696338	0.8107569721115537	0.6564516129032258	0.503711308361119	0.6564516129032258
25	0.8443681389977422	0.8428667281382967	0.7547321788159485	0.7546242830820336	0.8096172718351324	0.6653225806451613	0.509358116559598	0.6653225806451613
26	0.8439937845483092	0.8424973486772387	0.752315747080145	0.7522000622842758	0.8115653040877367	0.6564516129032258	0.5045164895103034	0.6564516129032258
27	0.8427331767575845	0.8418789432823156	0.7462746677406363	0.7461273453922612	0.8251599147121536	0.6241935483870967	0.49239940890420786	0.6241935483870967
28	0.8445001686865803	0.8431180593912357	0.7470801449859041	0.7469250382788779	0.8318872017353579	0.6185483870967742	0.4940029581209766	0.6185483870967742
29	0.8468442633586796	0.8451098387400676	0.7498993153443415	0.7497846002128046	0.8079601990049752	0.6548387096774193	0.4996834780746512	0.6548387096774193
30	0.8477970181402953	0.8462727964873362	0.7623842126459928	0.76229627851452	0.8066037735849056	0.6895161290322581	0.5246844683819474	0.6895161290322581
